ticket_id,step,decision,rule_ids,data_refs,actor,created_at
TKT-0027,validate,passed validation,[],"[""tickets.json#0""]",pipeline,2026-08-30T08:42:20.843087
TKT-0027,enrich,context gathered,[],"[""vehicles.reg_canonical=UP40IM3144"", ""drivers.driver_id=DRV-020"", ""maintenance_events: 1 rows"", ""clients.canonical_name=Shakti Cement""]",pipeline,2026-08-30T08:42:20.844135
TKT-0027,classify,"severity=HIGH, action=Replace vehicle, notify client per ['R-04', 'R-08'] policy.","[""R-04"", ""R-08""]",[],pipeline,2026-08-30T08:42:20.844135
TKT-0027,select_vehicle,selected UP13DI3925 from hub Lucknow,"[""R-09"", ""R-10""]","[""{\""rule_id\"": \""R-09\"", \""passed\"": true, \""explanation\"": \""km_from_origin_hub=20.0 <= 50: R-09 restricts sourcing to origin hub only (Lucknow).\""}"", ""{\""rule_id\"": \""R-10\"", \""passed\"": true, \""explanation\"": \""Last maintenance touchpoint 27d ago (grounded if > 90d, ASSUMPTION-01).\""}""]",pipeline,2026-08-30T08:42:20.844135
TKT-0027,work_order,created WO-TKT-0027,[],"[""tickets.raw_json#TKT-0027"", ""fleet_master.csv#UP13DI3925"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-10\""])""]",pipeline,2026-08-30T08:42:20.844135
TKT-0027,draft_comms,"drafted MSG-TKT-0027, awaiting human approval (deterministic template)",[],"[""work_orders#TKT-0027"", ""classifications#TKT-0027"", ""rules: [\""R-04\"", \""R-08\""]""]",pipeline,2026-08-30T08:42:20.845186
TKT-0009,validate,passed validation,[],"[""tickets.json#1""]",pipeline,2026-08-30T08:42:20.845186
TKT-0009,enrich,context gathered,[],"[""vehicles.reg_canonical=CH40IK6238"", ""drivers.driver_id=DRV-031"", ""maintenance_events: 3 rows"", ""clients.canonical_name=Apex Chemicals""]",pipeline,2026-08-30T08:42:20.845186
TKT-0009,classify,"severity=LOW, action=Replace vehicle, notify client per ['R-06'] policy.","[""R-06""]",[],pipeline,2026-08-30T08:42:20.845186
TKT-0009,select_vehicle,selected CH74TG3504 from hub Chandigarh,"[""R-09"", ""R-10""]","[""{\""rule_id\"": \""R-09\"", \""passed\"": true, \""explanation\"": \""km_from_origin_hub=10.0 <= 50: R-09 restricts sourcing to origin hub only (Chandigarh).\""}"", ""{\""rule_id\"": \""R-10\"", \""passed\"": true, \""explanation\"": \""Last maintenance touchpoint 86d ago (grounded if > 90d, ASSUMPTION-01).\""}""]",pipeline,2026-08-30T08:42:20.845186
TKT-0009,work_order,created WO-TKT-0009,[],"[""tickets.raw_json#TKT-0009"", ""fleet_master.csv#CH74TG3504"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-10\""])""]",pipeline,2026-08-30T08:42:20.845186
TKT-0009,draft_comms,"drafted MSG-TKT-0009, awaiting human approval (deterministic template)",[],"[""work_orders#TKT-0009"", ""classifications#TKT-0009"", ""rules: [\""R-06\""]""]",pipeline,2026-08-30T08:42:20.845186
TKT-0020,validate,passed validation,[],"[""tickets.json#2""]",pipeline,2026-08-30T08:42:20.845186
TKT-0020,enrich,context gathered,[],"[""vehicles.reg_canonical=HR16SP9238"", ""drivers.driver_id=DRV-010"", ""maintenance_events: 2 rows"", ""clients.canonical_name=Shakti Cement""]",pipeline,2026-08-30T08:42:20.845186
TKT-0020,classify,"severity=MEDIUM, action=Replace vehicle, notify client per ['R-04'] policy.","[""R-04""]",[],pipeline,2026-08-30T08:42:20.845186
