work_order_id,ticket_id,vehicle_reg,created_at,citations
WO-TKT-0001,TKT-0001,UP53YM5558,2026-08-30T09:07:33.494809,"[""tickets.raw_json#TKT-0001"", ""fleet_master.csv#UP53YM5558"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-10\""])""]"
WO-TKT-0002,TKT-0002,DL13XI5012,2026-08-30T09:07:33.499731,"[""tickets.raw_json#TKT-0002"", ""fleet_master.csv#DL13XI5012"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-10\""])""]"
WO-TKT-0003,TKT-0003,PB53DC7224,2026-08-30T09:07:33.493724,"[""tickets.raw_json#TKT-0003"", ""fleet_master.csv#PB53DC7224"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-10\""])""]"
WO-TKT-0004,TKT-0004,PB31NP8886,2026-08-30T09:07:33.497813,"[""tickets.raw_json#TKT-0004"", ""fleet_master.csv#PB31NP8886"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-10\""])""]"
WO-TKT-0005,TKT-0005,UK29NF9548,2026-08-30T09:07:33.493724,"[""tickets.raw_json#TKT-0005"", ""fleet_master.csv#UK29NF9548"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-07\"", \""R-10\""])""]"
WO-TKT-0006,TKT-0006,PB81RI8019,2026-08-30T09:07:33.497813,"[""tickets.raw_json#TKT-0006"", ""fleet_master.csv#PB81RI8019"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-07\"", \""R-10\""])""]"
WO-TKT-0008,TKT-0008,PB84TB2343,2026-08-30T09:07:33.498823,"[""tickets.raw_json#TKT-0008"", ""fleet_master.csv#PB84TB2343"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-10\""])""]"
WO-TKT-0009,TKT-0009,CH74TG3504,2026-08-30T09:07:33.489096,"[""tickets.raw_json#TKT-0009"", ""fleet_master.csv#CH74TG3504"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-10\""])""]"
WO-TKT-0010,TKT-0010,UP52IC5573,2026-08-30T09:07:33.491562,"[""tickets.raw_json#TKT-0010"", ""fleet_master.csv#UP52IC5573"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-10\""])""]"
WO-TKT-0011,TKT-0011,HR24VR5371,2026-08-30T09:07:33.491562,"[""tickets.raw_json#TKT-0011"", ""fleet_master.csv#HR24VR5371"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-07\"", \""R-10\""])""]"
WO-TKT-0013,TKT-0013,HR64RO3607,2026-08-30T09:07:33.496847,"[""tickets.raw_json#TKT-0013"", ""fleet_master.csv#HR64RO3607"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-03\"", \""R-07\"", \""R-10\""])""]"
WO-TKT-0014,TKT-0014,DL82GO5198,2026-08-30T09:07:33.490447,"[""tickets.raw_json#TKT-0014"", ""fleet_master.csv#DL82GO5198"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-07\"", \""R-10\""])""]"
WO-TKT-0015,TKT-0015,CH10YZ3615,2026-08-30T09:07:33.492464,"[""tickets.raw_json#TKT-0015"", ""fleet_master.csv#CH10YZ3615"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-10\""])""]"
WO-TKT-0016,TKT-0016,DL82ZB6688,2026-08-30T09:07:33.496847,"[""tickets.raw_json#TKT-0016"", ""fleet_master.csv#DL82ZB6688"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-10\""])""]"
WO-TKT-0017,TKT-0017,UP18VK6143,2026-08-30T09:07:33.490447,"[""tickets.raw_json#TKT-0017"", ""fleet_master.csv#UP18VK6143"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-07\"", \""R-10\""])""]"
WO-TKT-0019,TKT-0019,CH26LC5002,2026-08-30T09:07:33.495822,"[""tickets.raw_json#TKT-0019"", ""fleet_master.csv#CH26LC5002"", ""dispatcher_interview.txt (rules: [\""R-09\"", \""R-10\""])""]"
